"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.242982750E-1,8.899500370E-1,1.360050082E0,8.515049934E0
6.267416600E-1,7.290000319E-1,1.405050039E0,8.812050819E0
6.291850490E-1,5.790000558E-1,1.441050053E0,9.007950783E0
6.316284330E-1,3.990000188E-1,1.501050115E0,9.037050247E0
6.340718170E-1,1.690500081E-1,1.591950059E0,8.884050369E0
6.365152010E-1,-1.050000042E-1,1.735950112E0,8.668050766E0
6.389585850E-1,-3.370500207E-1,1.882050037E0,8.391000748E0
6.414019850E-1,-6.510000229E-1,2.068950176E0,8.182050705E0
6.438453700E-1,-8.980500698E-1,2.241000175E0,8.041049957E0
6.462887550E-1,-1.135050058E0,2.404050112E0,7.983000278E0
6.487321400E-1,-1.345050097E0,2.535000086E0,7.975950241E0
6.511755050E-1,-1.561050057E0,2.638050079E0,7.948050499E0
6.536188900E-1,-1.759950042E0,2.698050022E0,7.939950466E0
6.560622740E-1,-1.980000138E0,2.715000153E0,7.933050156E0
6.585056580E-1,-2.179050207E0,2.719950199E0,7.969050407E0
6.609490420E-1,-2.329050064E0,2.761050224E0,7.948050499E0
6.633924410E-1,-2.430000067E0,2.811000109E0,7.942950249E0
6.658358260E-1,-2.569050074E0,2.854050159E0,7.918950558E0
6.682792110E-1,-2.677050114E0,2.952000141E0,7.861050606E0
6.707225960E-1,-2.740950108E0,3.081000090E0,7.891950607E0
6.731659810E-1,-2.799000025E0,3.189000130E0,8.034000397E0
6.756093800E-1,-2.895000219E0,3.277950048E0,8.203949928E0
6.780527650E-1,-3.021000147E0,3.354000092E0,8.367000580E0
6.804961500E-1,-3.144000053E0,3.400050163E0,8.520000458E0
6.829395340E-1,-3.223050117E0,3.436050177E0,8.668050766E0
6.853829180E-1,-3.313950062E0,3.442950249E0,8.709000587E0
6.878263020E-1,-3.352050066E0,3.426000118E0,8.698950768E0
6.902696860E-1,-3.349050045E0,3.451950073E0,8.692049980E0
6.927130710E-1,-3.325050116E0,3.496050119E0,8.628000259E0
6.951564560E-1,-3.280050039E0,3.508050203E0,8.532000542E0
6.975998410E-1,-3.270000219E0,3.526950121E0,8.493000031E0
7.000432500E-1,-3.253950119E0,3.487950087E0,8.524950027E0
7.024866350E-1,-3.270000219E0,3.439950228E0,8.710950851E0
7.049300200E-1,-3.234000206E0,3.349950075E0,8.934000015E0
7.073734050E-1,-3.202950239E0,3.201000214E0,9.091950417E0
7.098167890E-1,-3.165000200E0,3.040950060E0,9.171000481E0
7.122601780E-1,-3.073950052E0,2.890050173E0,9.154050827E0
7.147035620E-1,-2.941950083E0,2.788950205E0,9.006000519E0
7.171469460E-1,-2.839050055E0,2.803950071E0,8.812050819E0
7.195903310E-1,-3.373050213E0,3.177000046E0,8.982000351E0
7.220337160E-1,-7.278000355E0,4.848000050E0,1.055505085E1
7.244771250E-1,-1.405695057E1,7.053000450E0,1.239405060E1
7.269205100E-1,-1.090305042E1,6.442950249E0,1.245795059E1
7.293638950E-1,-7.195050240E0,6.043050289E0,1.180200100E1
7.318072800E-1,-5.916000366E0,5.989950180E0,1.005000019E1
7.342506640E-1,-6.571950436E0,6.226950169E0,8.380949974E0
7.366940480E-1,-6.747000217E0,6.262950420E0,7.440000534E0
7.391374320E-1,-5.622000217E0,6.024000168E0,6.987000465E0
7.415808160E-1,-4.384050369E0,5.653050423E0,6.742950439E0
7.440242010E-1,-3.910050154E0,5.386950493E0,6.523050308E0
7.464675860E-1,-3.936000109E0,5.097000122E0,6.388950348E0
7.489109900E-1,-4.009950161E0,4.788000107E0,6.216000080E0
7.513543750E-1,-4.120050430E0,4.549050331E0,5.962950230E0
7.537977600E-1,-4.195050240E0,4.398000240E0,5.580000401E0
7.562411450E-1,-4.305000305E0,4.317000389E0,5.175000191E0
7.586845300E-1,-4.333050251E0,4.273950100E0,4.768050194E0
7.611279140E-1,-4.270950317E0,4.273950100E0,4.432950020E0
7.635715280E-1,-4.219050407E0,4.278000355E0,4.207950115E0
7.660146830E-1,-4.045950413E0,4.216050148E0,4.118999958E0
7.684580660E-1,-3.876000166E0,4.101000309E0,4.180950165E0
7.709014510E-1,-3.709050179E0,3.952950239E0,4.432950020E0
7.733448450E-1,-3.484050274E0,3.769050121E0,4.845000267E0
7.757882300E-1,-3.285000086E0,3.630000114E0,5.314050198E0
7.782316150E-1,-3.160050154E0,3.546000242E0,5.824050426E0
7.806749990E-1,-3.079050064E0,3.450000048E0,6.339000225E0
7.831183840E-1,-2.985000134E0,3.394950151E0,6.904050350E0
7.855617880E-1,-2.713050127E0,2.986050129E0,7.270050526E0
7.880051730E-1,-2.454000235E0,1.828950047E0,7.636050224E0
7.904485580E-1,-2.799000025E0,1.480500102E-1,8.853000641E0
7.928919430E-1,-3.418950081E0,-1.579050064E0,1.172595024E1
7.953353280E-1,-4.210950375E0,-2.926950216E0,1.245600033E1
7.977787180E-1,-3.643950224E0,-2.520000219E0,1.158405018E1
8.002223310E-1,-2.092050076E0,-1.144050002E0,1.042800045E1
8.026654870E-1,-7.180500627E-1,5.310000181E-1,9.187950134E0
8.051091000E-1,-2.220000178E-1,1.968000054E0,7.869000435E0
8.075524870E-1,-4.999500215E-1,2.941950083E0,6.553950310E0
8.099958750E-1,-1.183050036E0,3.553050280E0,5.509950161E0
8.124392600E-1,-1.846050143E0,4.044000149E0,4.849050045E0
8.148826450E-1,-2.302950144E0,4.477050304E0,4.579050064E0
8.173260290E-1,-2.434950113E0,4.879050255E0,4.618950367E0
8.197694140E-1,-2.478000164E0,5.230950356E0,4.873050213E0
8.222127980E-1,-2.406000137E0,5.445000172E0,5.247000217E0
8.246561820E-1,-2.047049999E0,5.370000362E0,5.412000179E0
8.270995660E-1,-1.723950028E0,5.095050335E0,5.401950359E0
8.295429500E-1,-1.554000020E0,4.575000286E0,5.616000175E0
8.319863400E-1,-1.489050031E0,4.044000149E0,6.235950470E0
8.344297250E-1,-1.855050087E0,3.735000134E0,7.201050282E0
8.368728800E-1,-2.538000107E0,3.607950211E0,8.460000038E0
8.393162630E-1,-3.250950098E0,3.595950127E0,9.796050072E0
8.417596480E-1,-3.517050266E0,3.601050138E0,1.097895050E1
8.442030750E-1,-3.358950138E0,3.583950281E0,1.193400097E1
8.466466910E-1,-2.965950251E0,3.505050182E0,1.260195065E1
8.490898470E-1,-2.629050016E0,3.498000145E0,1.291800022E1
8.515334600E-1,-2.514000177E0,3.510000229E0,1.293705082E1
8.539766160E-1,-2.605050087E0,3.625050068E0,1.267095089E1
8.564202340E-1,-2.782050133E0,3.835950136E0,1.216905022E1
8.588633900E-1,-2.964000225E0,4.027050018E0,1.165395069E1
8.613070030E-1,-3.253950119E0,4.105950356E0,1.118700027E1
8.637503900E-1,-3.736950159E0,3.931050301E0,1.073205090E1
8.661937750E-1,-3.178950071E0,3.831000090E0,1.018095016E1
8.686371590E-1,-2.779950142E0,3.687000275E0,9.697950363E0
8.710805440E-1,-2.695950031E0,3.610050201E0,9.240000725E0
8.735239290E-1,-2.587950230E0,3.546000242E0,8.862000465E0
8.759673130E-1,-2.326950073E0,3.514950275E0,8.616000175E0
8.784106980E-1,-1.942050099E0,3.498000145E0,8.520000458E0
8.808540680E-1,-1.522950053E0,3.498000145E0,8.497950554E0
8.832974520E-1,-1.055999994E0,3.412050247E0,8.829000473E0
8.857408360E-1,-7.590000629E-1,3.333000183E0,9.312000275E0
8.881842200E-1,-7.420500517E-1,3.271050215E0,9.604050636E0
8.906276050E-1,-1.314000010E0,3.445050240E0,9.640050888E0
8.930709660E-1,-1.450950027E0,3.498000145E0,9.142050743E0
8.955143510E-1,-1.456050038E0,3.529050112E0,8.287950516E0
8.979577360E-1,-1.444050074E0,3.546000242E0,7.533000469E0
9.004011210E-1,-1.185000062E0,3.370950222E0,7.035000324E0
9.028445060E-1,-9.930000305E-1,3.127050161E0,6.883950233E0
9.052879050E-1,-1.015050054E0,3.001950026E0,7.174050331E0
9.077312890E-1,-1.057950020E0,2.884950161E0,7.404000282E0
9.101746730E-1,-9.769500494E-1,2.659950018E0,7.561950207E0
9.126180570E-1,-1.249950051E0,2.782050133E0,8.282999992E0
9.150614410E-1,-1.582050085E0,2.971050024E0,8.881050110E0
9.175048070E-1,-2.145000219E0,3.357000113E0,9.388950348E0
9.199481920E-1,-2.650050163E0,3.751950264E0,9.724050522E0
9.223915770E-1,-3.009000063E0,4.147050381E0,9.922950745E0
9.248350370E-1,-3.285000086E0,4.474950314E0,1.005000019E1
9.272783470E-1,-3.487950087E0,4.708950043E0,1.013400078E1
9.297218070E-1,-3.579000235E0,4.803000450E0,1.019100094E1
9.321651160E-1,-3.558000088E0,4.800000191E0,1.013400078E1
9.346085760E-1,-3.519000053E0,4.705049992E0,1.004700089E1
9.370518860E-1,-3.469050169E0,4.567950249E0,9.894000053E0
9.394952680E-1,-3.445050240E0,4.425000191E0,9.649950027E0
9.419386340E-1,-3.409050226E0,4.185000420E0,9.336000443E0
9.443820190E-1,-3.273000240E0,3.943050146E0,9.025050163E0
9.468254030E-1,-3.154950142E0,3.742050171E0,8.756999969E0
9.492687880E-1,-3.049950123E0,3.601050138E0,8.500950813E0
9.517121820E-1,-2.971050024E0,3.484050274E0,8.395050049E0
9.541555670E-1,-2.871000051E0,3.445050240E0,8.352000237E0
9.565989520E-1,-2.776950121E0,3.450000048E0,8.290050507E0
9.590423370E-1,-2.638050079E0,3.484050274E0,8.244000435E0
