"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.460761410E0,-2.793750048E0,2.066250038E1,3.808125305E1
7.480785531E0,-3.075000048E0,2.075625038E1,3.819375229E1
7.500788884E0,-3.281250238E0,2.090625000E1,3.748125076E1
7.520786800E0,-2.606250048E0,2.126250076E1,3.796875000E1
7.540791694E0,-3.375000238E0,2.086875153E1,3.810000229E1
7.560791186E0,-2.981250048E0,2.073750114E1,3.851250076E1
7.580785189E0,-3.187500238E0,2.073750114E1,3.860625076E1
7.600777803E0,-3.375000238E0,2.086875153E1,3.810000229E1
7.620779050E0,-3.487500191E0,2.111250114E1,3.748125076E1
7.640776194E0,-3.000000000E0,2.098125076E1,3.787500000E1
7.660781244E0,-2.906250000E0,2.094375038E1,3.828750229E1
7.680781350E0,-2.493750095E0,2.077500153E1,3.765000153E1
7.700777469E0,-3.093750238E0,2.105625153E1,3.810000229E1
7.720760525E0,-3.300000191E0,2.116875076E1,3.821250153E1
7.740764504E0,-3.506250143E0,2.124375153E1,3.853125000E1
7.760775251E0,-3.187500238E0,2.096250153E1,3.810000229E1
7.780779761E0,-2.981250048E0,2.075625038E1,3.808125305E1
7.800835929E0,-3.000000000E0,2.115000153E1,3.819375229E1
7.820818495E0,-2.325000048E0,2.113125038E1,3.806250000E1
7.840810130E0,-3.187500238E0,2.116875076E1,3.798750305E1
7.860798755E0,-2.700000048E0,2.101875114E1,3.693750000E1
7.880796714E0,-3.206250191E0,2.137500000E1,3.789375305E1
7.900790155E0,-3.000000000E0,2.107500076E1,3.778125000E1
7.920782445E0,-3.281250238E0,2.098125076E1,3.778125000E1
7.940794889E0,-3.187500238E0,2.096250153E1,3.830625153E1
7.960789543E0,-2.606250048E0,2.096250153E1,3.776250076E1
7.980792446E0,-2.887500048E0,2.101875114E1,3.714375305E1
8.000791020E0,-3.112500191E0,2.150625038E1,3.736875153E1
8.020808791E0,-3.206250191E0,2.158125114E1,3.789375305E1
8.040795826E0,-3.093750238E0,2.103750038E1,3.840000153E1
8.060792267E0,-2.418750048E0,2.126250076E1,3.776250076E1
8.080785365E0,-2.512500048E0,2.135625076E1,3.787500000E1
8.100787402E0,-2.493750095E0,2.086875153E1,3.776250076E1
8.120783731E0,-3.075000048E0,2.077500153E1,3.787500000E1
8.140778666E0,-2.887500048E0,2.085000038E1,3.828750229E1
8.160781938E0,-3.000000000E0,2.124375153E1,3.840000153E1
8.180780865E0,-3.112500191E0,2.124375153E1,3.851250076E1
8.200776192E0,-2.400000095E0,2.085000038E1,3.808125305E1
8.220779933E0,-2.700000048E0,2.103750038E1,3.840000153E1
8.240790554E0,-2.606250048E0,2.105625153E1,3.796875000E1
8.260773599E0,-2.981250048E0,2.100000000E1,3.746250153E1
