"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.856679780E-1,-1.982749999E-1,9.222124815E-1,-1.299787521E0
7.881113620E-1,-2.972750068E-1,9.477875233E-1,-1.281499982E0
7.905547460E-1,-3.790875077E-1,9.662125111E-1,-1.252212524E0
7.929981300E-1,-4.401375055E-1,9.894499779E-1,-1.206974983E0
7.954415140E-1,-4.768500030E-1,1.018737435E0,-1.154449940E0
7.978848890E-1,-4.866124988E-1,1.066312551E0,-1.101925015E0
8.003282740E-1,-4.621374905E-1,1.133550048E0,-1.055449963E0
8.027716590E-1,-4.083749950E-1,1.225124955E0,-1.026162505E0
8.052152740E-1,-3.350875080E-1,1.342412472E0,-1.017637491E0
8.076586600E-1,-2.459875047E-1,1.480462551E0,-1.034687519E0
8.101020350E-1,-1.457500011E-1,1.639274955E0,-1.067687511E0
8.125454190E-1,-3.451250121E-2,1.809087515E0,-1.106737494E0
8.149888040E-1,8.511249721E-2,1.979037523E0,-1.137262464E0
8.174321890E-1,2.109249979E-1,2.135375023E0,-1.159262538E0
8.198755730E-1,3.404499888E-1,2.270950079E0,-1.165449977E0
8.223189630E-1,4.687374830E-1,2.379712582E0,-1.158025026E0
8.247624230E-1,5.909749866E-1,2.460287571E0,-1.136162519E0
8.272058090E-1,7.130749822E-1,2.522574902E0,-1.115262508E0
8.296491940E-1,8.328375220E-1,2.567812443E0,-1.099449992E0
8.320925780E-1,9.488874674E-1,2.591049910E0,-1.098212481E0
8.345359630E-1,1.061362505E0,2.593524933E0,-1.109212518E0
8.369793480E-1,1.163937449E0,2.583762407E0,-1.131212473E0
8.394227320E-1,1.260462523E0,2.566575050E0,-1.156924963E0
8.418661160E-1,1.343512535E0,2.545812368E0,-1.181262493E0
8.443095000E-1,1.415562510E0,2.517762423E0,-1.204499960E0
8.467528600E-1,1.482800007E0,2.466475010E0,-1.222787499E0
8.491964750E-1,1.559800029E0,2.366237402E0,-1.227737546E0
8.516396310E-1,1.646562457E0,2.219662428E0,-1.210687518E0
8.540832450E-1,1.723425031E0,2.055900097E0,-1.171499968E0
8.565266310E-1,1.767424941E0,1.902037501E0,-1.131212473E0
8.589700110E-1,1.760137439E0,1.771275043E0,-1.095737457E0
8.614133960E-1,1.713662505E0,1.634462476E0,-1.067687511E0
8.638567800E-1,1.642850041E0,1.470700026E0,-1.048162460E0
8.663001650E-1,1.558562517E0,1.276549935E0,-1.045687437E0
8.687435490E-1,1.462037444E0,1.062737465E0,-1.061637521E0
8.711870090E-1,1.358224988E0,8.452125192E-1,-1.094499946E0
8.736303960E-1,1.248224974E0,6.461125016E-1,-1.137262464E0
8.760737800E-1,1.130937457E0,4.738250077E-1,-1.188687444E0
8.785171650E-1,1.007599950E0,3.297249973E-1,-1.236262441E0
8.809605490E-1,8.828874826E-1,2.037750036E-1,-1.264312506E0
8.834039340E-1,7.558375001E-1,8.772499859E-2,-1.274212480E0
8.858475470E-1,6.300249696E-1,-2.708750032E-2,-1.263212442E0
8.882909340E-1,5.127375126E-1,-1.504250020E-1,-1.236262441E0
8.907343190E-1,4.089249969E-1,-2.811875045E-1,-1.199687481E0
8.931777030E-1,3.271124959E-1,-4.070000052E-1,-1.158025026E0
8.956210880E-1,2.745875120E-1,-5.255249739E-1,-1.111687541E0
8.980644730E-1,2.525874972E-1,-6.355249882E-1,-1.068925023E0
9.005078570E-1,2.525874972E-1,-7.308124900E-1,-1.026162505E0
9.029512420E-1,2.721124887E-1,-8.113874793E-1,-9.809250236E-1
9.053946170E-1,3.038749993E-1,-8.651499748E-1,-9.283999801E-1
9.078380010E-1,3.392125070E-1,-8.981499672E-1,-8.673499823E-1
9.102813850E-1,3.734500110E-1,-9.274374843E-1,-7.964000106E-1
9.127247690E-1,4.027374983E-1,-9.543874860E-1,-7.218750119E-1
9.151681540E-1,4.259749949E-1,-9.787250161E-1,-6.510624886E-1
9.176116200E-1,4.431625009E-1,-9.971500039E-1,-5.948249698E-1
9.200550070E-1,4.564999938E-1,-1.001962543E0,-5.520625114E-1
9.224983920E-1,4.749250114E-1,-9.836750031E-1,-5.289624929E-1
9.249417760E-1,5.054500103E-1,-9.348624945E-1,-5.202999711E-1
9.273851610E-1,5.482124686E-1,-8.468624949E-1,-5.264874697E-1
9.298285320E-1,6.044499874E-1,-7.271000147E-1,-5.422999859E-1
9.322721450E-1,6.740249991E-1,-5.890499949E-1,-5.643000007E-1
9.347153010E-1,7.570750117E-1,-4.510000050E-1,-5.802500248E-1
9.371589140E-1,8.475499749E-1,-3.239499927E-1,-5.912500024E-1
9.396023010E-1,9.440749884E-1,-2.116124928E-1,-5.900124907E-1
9.420456700E-1,1.050362468E0,-1.138499975E-1,-5.802500248E-1
9.444890550E-1,1.167649984E0,-1.856249943E-2,-5.520625114E-1
9.469324400E-1,1.297037482E0,8.538749814E-2,-5.142499804E-1
9.493758240E-1,1.440037489E0,2.062499970E-1,-4.702500105E-1
9.518192090E-1,1.593899965E0,3.515875041E-1,-4.274874926E-1
9.542625800E-1,1.766187549E0,5.238749981E-1,-3.884375095E-1
9.567059640E-1,1.967762470E0,7.291625142E-1,-3.469125032E-1
9.591494240E-1,2.193812370E0,9.442124963E-1,-2.967250049E-1
9.615928100E-1,2.399100065E0,1.109074950E0,-2.491499931E-1
9.640361950E-1,2.546912432E0,1.181262493E0,-2.296250015E-1
9.664795940E-1,2.625149965E0,1.191025019E0,-2.466749996E-1
9.689229780E-1,2.640962601E0,1.191025019E0,-2.894375026E-1
9.713663630E-1,2.609200001E0,1.230075002E0,-3.444375098E-1
9.738097470E-1,2.548150063E0,1.322887540E0,-4.030124843E-1
9.762533610E-1,2.469912529E0,1.459699988E0,-4.494875073E-1
9.786967570E-1,2.389337540E0,1.606412530E0,-4.837250113E-1
9.811401420E-1,2.318387508E0,1.733462453E0,-4.982999861E-1
9.835835270E-1,2.261049986E0,1.823799968E0,-4.910124838E-1
9.860269110E-1,2.224337578E0,1.880037546E0,-4.641999900E-1
9.884702960E-1,2.203574896E0,1.910562515E0,-4.226749837E-1
9.909136760E-1,2.192574978E0,1.925274968E0,-3.749625087E-1
9.933570600E-1,2.182812452E0,1.932562470E0,-3.284874856E-1
9.958004440E-1,2.168237448E0,1.937374949E0,-2.869625092E-1
9.982438280E-1,2.141287565E0,1.938612461E0,-2.564375103E-1
1.000687289E0,2.104574919E0,1.931324959E0,-2.344374955E-1
1.003130690E0,2.059474945E0,1.908087492E0,-2.186249942E-1
1.005574074E0,2.010524988E0,1.876325011E0,-2.111999989E-1
1.008017459E0,1.959237456E0,1.825037479E0,-1.966249943E-1
1.010460843E0,1.906712532E0,1.752987504E0,-1.758625060E-1
1.012904228E0,1.851712465E0,1.661275029E0,-1.453374922E-1
1.015347603E0,1.794374943E0,1.561174989E0,-1.086250022E-1
1.017791216E0,1.738137484E0,1.460937500E0,-6.462500244E-2
1.020234603E0,1.688087463E0,1.376649976E0,-2.062499896E-2
1.022677987E0,1.650137544E0,1.318074942E0,2.089999989E-2
1.025121372E0,1.620849967E0,1.291124940E0,5.623750016E-2
